,序号,课程号,课程名称,学分,学时,开课学院,修读要求,是否
0,1,A1100020,思想道德修养与法律基础,3.0,20 | 0 | 1.0周 | 12,马克思主义学院,必修,是
1,2,A1090010,大学体育1,1.0,32 | 0 | 0 | 0,体育学院,必修,是
2,3,A1110030,线性代数A,3.0,48 | 0 | 0 | 0,理学院,必修,是
3,4,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,必修,是
4,5,A1050030,大学英语1,4.0,64 | 0 | 0 | 0,外国语学院,必修,是
5,6,A1040040,C语言程序设计,3.0,32 | 16 | 0 | 0,计算机科学与技术学院,必修,是
6,7,A2011270,程序设计训练,1.5,0 | 0 | 1.5周 | 0,通信与信息工程学院,必修,否
7,8,A1050040,大学英语2,4.0,64 | 0 | 0 | 0,外国语学院,必修,是
8,9,A2011340,数字媒体导论,2.0,32 | 0 | 0 | 0,通信与信息工程学院,必修,是
9,10,A2121980,艺术设计概论1,1.0,16 | 0 | 0 | 0,传媒艺术学院,必修,是
10,11,A2122010,造型基础,3.0,0 | 48 | 0 | 0,传媒艺术学院,必修,否
11,12,A2010990,企业认知实习1,0.5,0 | 0 | 1.0周 | 0,通信与信息工程学院,必修,否
12,13,A2030990,管理学A,3.0,48 | 0 | 0 | 0,经济管理学院,必修,是
13,14,A2140010,金工实习B,1.0,0 | 0 | 1.0周 | 0,先进制造工程学院,必修,否
14,15,A1110110,线性代数与解析几何,3.0,48 | 0 | 0 | 0,理学院,必修,是
15,16,A1110090,工科数学分析（上）,5.5,88 | 0 | 0 | 0,理学院,必修,是
16,17,A1040020,计算机科学导论,2.0,32 | 0 | 0 | 0,计算机科学与技术学院,必修,是
17,18,A2140080,工程图学与计算机绘图A,3.0,32 | 16 | 0 | 0,先进制造工程学院,必修,是
18,19,A1110090,工科数学分析（上）,5.5,88 | 0 | 0 | 0,理学院,选修,是
19,20,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,选修,是
20,21,A1100030,马克思主义基本原理,3.0,32 | 0 | 0 | 16,马克思主义学院,必修,是
21,22,A1110040,高等数学B(上),5.0,80 | 0 | 0 | 0,理学院,必修,是
22,23,A1030010,大学计算机基础,1.0,16 | 0 | 0 | 0,经济管理学院,必修,是
23,24,A1030020,计算机应用实践,1.0,0 | 16 | 0 | 0,经济管理学院,必修,否
24,25,A2030350,C语言程序设计,4.0,48 | 16 | 0 | 0,经济管理学院,必修,是
25,26,A2030270,政治经济学,2.0,32 | 0 | 0 | 0,经济管理学院,必修,是
26,27,A2030180,中外经济思想史,2.0,32 | 0 | 0 | 0,经济管理学院,必修,是
27,28,A2030990,管理学A,3.0,48 | 0 | 0 | 0,经济管理学院,选修,是
28,29,A2070160,经济法B,2.0,32 | 0 | 0 | 0,网络空间安全与信息法学院,选修,是
29,30,A2030430,工程概论,3.0,48 | 0 | 0 | 0,经济管理学院,必修,是
30,31,A2030920,工商管理学科导论,1.0,16 | 0 | 0 | 0,经济管理学院,必修,是
31,32,A2030190,经济学,4.0,64 | 0 | 0 | 0,经济管理学院,必修,是
